league.season,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Time,Result,HalftimeHomeGoals,HalftimeAwayGoals,HalftimeResult,HomeShot,AwayShot,HomeShotTarget,AwayShotTarget,HomeTeamFouls,AwayTeamFouls,HomeTeamCorners,AwayTeamCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,result_home,result_away,home_goals_scored_home,home_goals_conceded_home,home_win_rate_home,away_goals_scored_away,away_goals_conceded_away,away_win_rate_away,home_season_rank,away_season_rank,home_rolling_scored,home_rolling_conceded,home_rolling_win_rate,away_rolling_scored,away_rolling_conceded,away_rolling_win_rate
2022,Lyon,Ajaccio,2,1,2022-08-05,20:00,H,2,1,H,11,8,6,4,10,18,4,3,1,6,1,1,1.0,0.0,1.842,1.0,0.526,0.684,2.316,0.158,7,18,0.0,0.0,0.0,0.0,0.0,0.0
2022,Clermont Foot,Paris SG,0,5,2022-08-06,20:00,A,0,3,A,7,18,1,12,13,13,0,6,2,1,0,0,0.0,1.0,1.053,1.474,0.474,2.316,0.789,0.737,8,1,0.0,0.0,0.0,0.0,0.0,0.0
2022,Strasbourg,Monaco,1,2,2022-08-06,16:00,A,0,1,A,11,24,7,11,18,15,3,7,0,2,0,0,0.0,1.0,1.316,1.368,0.263,1.737,1.316,0.526,15,6,0.0,0.0,0.0,0.0,0.0,0.0
2022,Angers,Nantes,0,0,2022-08-07,14:00,D,0,0,D,16,14,6,4,15,13,3,6,3,3,0,0,0.5,0.5,1.053,1.895,0.158,0.895,1.526,0.105,20,16,0.0,0.0,0.0,0.0,0.0,0.0
2022,Lens,Stade Brestois,3,2,2022-08-07,14:00,H,1,0,H,17,6,7,4,16,14,6,3,2,4,0,0,1.0,0.0,2.158,0.684,0.895,1.053,1.474,0.211,2,14,0.0,0.0,0.0,0.0,0.0,0.0
2022,Lille,Auxerre,4,1,2022-08-07,14:00,H,3,0,H,16,10,7,2,10,9,7,2,2,1,0,0,1.0,0.0,2.105,1.316,0.684,0.895,1.842,0.158,5,17,0.0,0.0,0.0,0.0,0.0,0.0
2022,Marseille,Reims,4,1,2022-08-07,19:45,H,2,0,H,16,16,6,6,14,10,6,7,2,0,0,0,1.0,0.0,1.842,1.263,0.526,0.895,1.158,0.211,3,11,0.0,0.0,0.0,0.0,0.0,0.0
2022,Montpellier,Estac Troyes,3,2,2022-08-07,14:00,H,2,2,D,17,15,6,10,13,10,3,6,1,0,0,0,1.0,0.0,1.526,1.526,0.368,1.368,2.684,0.158,12,19,0.0,0.0,0.0,0.0,0.0,0.0
2022,Rennes,Lorient,0,1,2022-08-07,16:05,A,0,0,D,21,8,6,2,11,5,7,2,3,1,0,0,0.0,1.0,2.263,0.737,0.789,1.368,1.684,0.316,4,10,0.0,0.0,0.0,0.0,0.0,0.0
2022,Toulouse,Nice,1,1,2022-08-07,12:00,D,1,0,H,6,11,4,4,10,8,6,3,1,2,0,0,0.5,0.5,1.421,1.421,0.316,1.263,1.0,0.421,13,9,0.0,0.0,0.0,0.0,0.0,0.0
2022,Nantes,Lille,1,1,2022-08-12,20:00,D,1,0,H,10,16,1,5,14,10,5,11,1,4,0,0,0.5,0.5,1.053,1.368,0.263,1.316,1.0,0.316,16,5,0.0,0.0,0.0,4.0,1.0,1.0
2022,Monaco,Rennes,1,1,2022-08-13,16:00,D,0,0,D,12,24,4,8,6,11,1,6,0,3,1,0,0.5,0.5,1.947,1.737,0.474,1.368,1.316,0.316,6,4,2.0,1.0,1.0,0.0,1.0,0.0
2022,Paris SG,Montpellier,5,2,2022-08-13,20:00,H,2,0,H,20,7,10,4,15,18,11,0,2,1,0,0,1.0,0.0,2.368,1.316,0.684,1.895,1.737,0.421,1,12,5.0,0.0,1.0,3.0,2.0,1.0
2022,Stade Brestois,Marseille,1,1,2022-08-14,19:45,D,0,1,A,17,5,5,2,10,15,7,5,1,4,0,0,0.5,0.5,1.263,1.368,0.368,1.684,0.842,0.632,14,3,2.0,3.0,0.0,4.0,1.0,1.0
2022,Nice,Strasbourg,1,1,2022-08-14,16:05,D,1,0,H,13,9,3,5,7,13,7,3,1,4,0,0,0.5,0.5,1.263,0.947,0.368,1.368,1.737,0.211,9,15,1.0,1.0,0.0,1.0,2.0,0.0
2022,Reims,Clermont Foot,2,4,2022-08-14,14:00,A,2,0,H,9,10,6,5,18,8,1,6,3,3,1,0,0.0,1.0,1.474,1.211,0.421,1.316,1.105,0.421,11,8,1.0,4.0,0.0,0.0,5.0,0.0
