Date,Referee,HomeTeam,Round
2025-08-15,J. Pignard,Rennes,1
2025-08-16,R. Lissorgue,Lens,1
2025-08-16,R. Buquet,Monaco,1
2025-08-16,T. Léonard,Nice,1
2025-08-17,F. Letexier,Angers,1
2025-08-17,A. Kherradji,Auxerre,1
2025-08-17,M. Vernice,Metz,1
2025-08-17,B. Bastien,Nantes,1
2025-08-17,C. Turpin,Stade Brestois,1
2025-08-22,H. Ben El Hadj,Paris SG,2
2025-08-23,E. Wattellier,Lyon,2
2025-08-23,M. Bollengier,Marseille,2
2025-08-23,J. Stinat,Nice,2
2025-08-24,G. Paradis,Le Havre,2
2025-08-24,W. Delajod,Lille,2
2025-08-24,J. Brisard,Lorient,2
2025-08-24,B. Dechepy,Strasbourg,2
2025-08-24,B. Millot,Toulouse,2
2025-08-29,A. Kherradji,Lens,3
2025-08-30,R. Lissorgue,Lorient,3
2025-08-30,S. Frappart,Nantes,3
2025-08-30,E. Wattellier,Toulouse,3
2025-08-31,M. Bollengier,Angers,3
2025-08-31,J. Brisard,Le Havre,3
2025-08-31,F. Letexier,Lyon,3
2025-08-31,B. Bastien,Monaco,3
2025-08-31,G. Angoula,Paris FC,3
2025-09-12,T. Léonard,Marseille,4
2025-09-13,R. Lissorgue,Auxerre,4
2025-09-13,G. Paradis,Nice,4
2025-09-14,J. Stinat,Lille,4
2025-09-14,B. Millot,Metz,4
2025-09-14,J. Pignard,Paris SG,4
2025-09-14,R. Buquet,Rennes,4
2025-09-14,B. Dechepy,Stade Brestois,4
2025-09-14,W. Delajod,Strasbourg,4
2025-09-19,C. Turpin,Lyon,5
2025-09-20,E. Wattellier,Lens,5
2025-09-20,M. Vernice,Nantes,5
2025-09-20,B. Bastien,Stade Brestois,5
2025-09-21,M. Bollengier,Auxerre,5
2025-09-21,A. Kherradji,Le Havre,5
2025-09-21,S. Frappart,Monaco,5
2025-09-21,F. Letexier,Paris FC,5
2025-09-22,J. Brisard,Marseille,5
2025-09-26,J. Pignard,Strasbourg,6
2025-09-27,R. Buquet,Lorient,6
2025-09-27,T. Léonard,Paris SG,6
2025-09-27,B. Millot,Toulouse,6
2025-09-28,W. Delajod,Angers,6
2025-09-28,M. Vernice,Lille,6
2025-09-28,G. Paradis,Metz,6
2025-09-28,A. Kherradji,Nice,6
2025-09-28,B. Dechepy,Rennes,6
2025-10-03,B. Millot,Paris FC,7
2025-10-04,F. Letexier,Auxerre,7
2025-10-04,C. Turpin,Metz,7
2025-10-04,G. Angoula,Stade Brestois,7
2025-10-05,J. Pignard,Le Havre,7
2025-10-05,B. Bastien,Lille,7
2025-10-05,T. Léonard,Lyon,7
2025-10-05,W. Delajod,Monaco,7
2025-10-05,G. Paradis,Strasbourg,7
